H_ery_ID	Orthogroup	HEeggA	HEeggB	HEeggC	HE4cA	HE4cB	HE4cC	HE16cA	HE16cB	HE16cC	HE32cA	HE32cB	HE32cC	HEblA	HEblB	HEblC	HEgaA	HEgaB	HEgaC	HEprA	HEprB	HEprC
HER_1763	OG0007248	5	8	10	61	54	49	161	63	88	21	82	115	124	80	58	18	62	40	100	81	37
HER_17630	OG0015154	2	1	12	4	2	3	4	12	29	9	5	14	11	21	10	3	3	4	8	1	0
HER_17631	OG0009239	62	150	116	1359	993	629	1503	1234	1610	431	671	1352	1856	1400	1233	653	1015	699	1515	1160	474
HER_17633	OG0006581	31900	36201	32362	19503	15860	12633	19426	14812	16039	14164	20201	18553	37903	48676	26266	39985	62555	42341	47154	34205	22435
HER_17635	OG0000090	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	4	0	0
HER_17636	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HER_17638	OG0018164	0	0	0	3	0	0	0	0	0	0	1	0	3	16	2	2	1	1	5	1	1
HER_17639	OG0004947	0	0	0	0	0	2	1	0	0	0	1	0	8	56	26	1	3	5	7	7	1
HER_1764	OG0010179	32	24	36	144	376	320	776	622	278	271	593	620	86	172	133	78	78	81	158	111	43
HER_17641	OG0014031	12	10	48	543	73	87	394	87	155	73	320	85	74	52	24	85	41	27	60	40	29
HER_17642	NA	755	1135	616	828	787	644	1313	1159	1100	660	857	1095	677	765	459	292	353	264	579	417	161
HER_17643	NA	32	105	24	181	200	207	725	497	392	412	575	378	97	158	106	36	84	63	89	69	35
HER_17644	OG0014030	64	211	79	496	424	473	1797	1155	1215	357	774	840	289	407	296	107	214	120	262	193	72
HER_17645	OG0014029	1211	1868	1185	1328	1385	1451	2964	2420	2453	1765	2348	2382	423	1179	403	182	249	124	297	296	140
HER_17646	NA	347	547	293	378	409	446	936	712	684	578	843	737	118	359	107	42	69	40	66	69	31
HER_17647	OG0014028	629	757	1147	1339	1190	1042	2853	1815	2242	712	1748	1867	408	762	351	223	308	219	433	295	137
HER_17648	OG0014027	3	93	17	67	152	224	102	43	39	28	49	203	13	49	23	85	121	65	98	68	59
HER_17649	OG0014026	23722	22706	22018	14165	12807	9171	8023	5779	7867	2344	4775	10541	3223	4381	3980	3224	5529	4641	5968	4902	2619
HER_17650	OG0014025	3084	4947	5019	3577	3434	2932	7159	3331	5127	1256	4311	3522	1788	2757	1384	783	1363	1352	1529	1177	484
HER_17651	OG0014024	79	306	70	532	644	482	850	989	739	263	382	685	78	153	105	64	53	58	144	100	63
